item_group_id,item_name,last_modified,variations,sell_price,item_category_id,thumbnail,total_composition,is_consignment,variants,total_variants,online_status
2007,Keripik Mix Kentang Singkong,2023-07-25T08:24:11.476Z,"[{'label': 'Rasa', 'values': ['Ayam Panggang', 'Blackpepper']}]",15600.0000,18451.0,https://jubelio.blob.core.windows.net/images/yuzagylismw50oreabjexg/811697e884ecda20507ccca7333df316_thumb.jpg,0,False,"[{'item_group_id': 2007, 'item_id': 4241, 'item_code': 'KMK-AyamPanggang', 'item_name': 'Keripik Mix Kentang Singkong', 'is_bundle': False, 'variation_values': [{'label': 'Rasa', 'value': 'Ayam Panggang'}], 'is_internal': None, 'barcode': None, 'tax_rate': 0, 'thumbnail': None, 'store_names': None, 'sell_price': 15600}, {'item_group_id': 2007, 'item_id': 4242, 'item_code': 'KMK-Blackpepper', 'item_name': 'Keripik Mix Kentang Singkong', 'is_bundle': False, 'variation_values': [{'label': 'Rasa', 'value': 'Blackpepper'}], 'is_internal': None, 'barcode': None, 'tax_rate': 0, 'thumbnail': None, 'store_names': None, 'sell_price': 15600}]",2,
1313,CASE HP LUCU,2023-07-24T08:28:18.762Z,[],500.0000,,https://jubelio.blob.core.windows.net/images/yuzagylismw50oreabjexg/cb9d9cec0f56c2574026862f9849fa3d_thumb.jpg,0,False,"[{'item_group_id': 1313, 'item_id': 2877, 'item_code': 'CASETEST', 'item_name': 'CASE HP LUCU', 'is_bundle': False, 'variation_values': [], 'is_internal': None, 'barcode': None, 'tax_rate': 0, 'thumbnail': 'https://jubelio.blob.core.windows.net/images/yuzagylismw50oreabjexg/cb9d9cec0f56c2574026862f9849fa3d_thumb.jpg', 'store_names': [{'store_name': 'Shopee - ViceCollection'}], 'sell_price': 500}]",1,"[{'channel_id': 64, 'store_id': 85693, 'store_name': 'Shopee - ViceCollection', 'channel_group_id': '22940875310', 'channel_url': 'https://shopee.co.id/product/842215517/22940875310', 'error_text': None, 'shop_id': '842215517'}]"
1647,ATESTING,2023-07-24T08:28:18.337Z,"[{'label': 'Ukuran', 'values': ['A', 'B', 'C', 'D', 'X', 'Z']}]",1000.0000,,https://jubelio.blob.core.windows.net/images/yuzagylismw50oreabjexg/7e7a3d7b7885c5f87a1ab661b70b3706_thumb.jpg,0,False,"[{'item_group_id': 1647, 'item_id': 3547, 'item_code': 'ATE-A', 'item_name': 'ATESTING', 'is_bundle': False, 'variation_values': [{'label': 'Ukuran', 'value': 'A'}], 'is_internal': None, 'barcode': None, 'tax_rate': 0, 'thumbnail': 'https://jubelio.blob.core.windows.net/images/yuzagylismw50oreabjexg/7e7a3d7b7885c5f87a1ab661b70b3706_thumb.jpg', 'store_names': [{'store_name': 'Shopee - ViceCollection'}], 'sell_price': 1000}, {'item_group_id': 1647, 'item_id': 3548, 'item_code': 'ATE-B', 'item_name': 'ATESTING', 'is_bundle': False, 'variation_values': [{'label': 'Ukuran', 'value': 'B'}], 'is_internal': None, 'barcode': None, 'tax_rate': 0, 'thumbnail': 'https://jubelio.blob.core.windows.net/images/yuzagylismw50oreabjexg/7e7a3d7b7885c5f87a1ab661b70b3706_thumb.jpg', 'store_names': [{'store_name': 'Shopee - ViceCollection'}], 'sell_price': 1000}, {'item_group_id': 1647, 'item_id': 3545, 'item_code': 'ATE-C', 'item_name': 'ATESTING', 'is_bundle': False, 'variation_values': [{'label': 'Ukuran', 'value': 'C'}], 'is_internal': None, 'barcode': None, 'tax_rate': 0, 'thumbnail': 'https://jubelio.blob.core.windows.net/images/yuzagylismw50oreabjexg/7e7a3d7b7885c5f87a1ab661b70b3706_thumb.jpg', 'store_names': [{'store_name': 'Shopee - ViceCollection'}], 'sell_price': 1000}, {'item_group_id': 1647, 'item_id': 3546, 'item_code': 'ATE-D', 'item_name': 'ATESTING', 'is_bundle': False, 'variation_values': [{'label': 'Ukuran', 'value': 'D'}], 'is_internal': None, 'barcode': None, 'tax_rate': 0, 'thumbnail': 'https://jubelio.blob.core.windows.net/images/yuzagylismw50oreabjexg/7e7a3d7b7885c5f87a1ab661b70b3706_thumb.jpg', 'store_names': [{'store_name': 'Shopee - ViceCollection'}], 'sell_price': 1000}, {'item_group_id': 1647, 'item_id': 3543, 'item_code': 'ATE-X', 'item_name': 'ATESTING', 'is_bundle': False, 'variation_values': [{'label': 'Ukuran', 'value': 'X'}], 'is_internal': None, 'barcode': None, 'tax_rate': 0, 'thumbnail': 'https://jubelio.blob.core.windows.net/images/yuzagylismw50oreabjexg/7e7a3d7b7885c5f87a1ab661b70b3706_thumb.jpg', 'store_names': [{'store_name': 'Shopee - ViceCollection'}], 'sell_price': 1000}, {'item_group_id': 1647, 'item_id': 3544, 'item_code': 'ATE-Z', 'item_name': 'ATESTING', 'is_bundle': False, 'variation_values': [{'label': 'Ukuran', 'value': 'Z'}], 'is_internal': None, 'barcode': None, 'tax_rate': 0, 'thumbnail': 'https://jubelio.blob.core.windows.net/images/yuzagylismw50oreabjexg/7e7a3d7b7885c5f87a1ab661b70b3706_thumb.jpg', 'store_names': [{'store_name': 'Shopee - ViceCollection'}], 'sell_price': 1000}]",6,"[{'channel_id': 64, 'store_id': 85693, 'store_name': 'Shopee - ViceCollection', 'channel_group_id': '21173803757', 'channel_url': 'https://shopee.co.id/product/842215517/21173803757', 'error_text': None, 'shop_id': '842215517'}]"
1808,Keripik Kentang,2023-07-24T08:28:16.313Z,"[{'label': 'Rasa', 'values': ['BBQ', 'Hot']}]",15000.0000,,https://jubelio.blob.core.windows.net/images/yuzagylismw50oreabjexg/13c24ca21f5c4ef7cfbf314ea9384cea_thumb.jpg,0,False,"[{'item_group_id': 1808, 'item_id': 3953, 'item_code': '7275956279-1675828328440-1', 'item_name': 'Keripik Kentang', 'is_bundle': False, 'variation_values': [{'label': 'Rasa', 'value': 'Hot'}], 'is_internal': None, 'barcode': None, 'tax_rate': 0, 'thumbnail': None, 'store_names': None, 'sell_price': 15000}, {'item_group_id': 1808, 'item_id': 3952, 'item_code': 'KK-BBQ', 'item_name': 'Keripik Kentang', 'is_bundle': False, 'variation_values': [{'label': 'Rasa', 'value': 'BBQ'}], 'is_internal': None, 'barcode': None, 'tax_rate': 0, 'thumbnail': 'https://jubelio.blob.core.windows.net/images/yuzagylismw50oreabjexg/13c24ca21f5c4ef7cfbf314ea9384cea_thumb.jpg', 'store_names': None, 'sell_price': 15000}]",2,
2018,Jam Tangan Anak Edisi Baru,2023-07-24T08:28:13.335Z,"[{'label': 'warna tali', 'value': ['Blue', 'Olive']}, {'label': 'Warna', 'value': ['Hitam']}]",2420000.0000,14959.0,https://file-service.jb-assets-alpha.sg-sin1.upcloudobjects.com/images/yuzagylismw50oreabjexg/2f2baf30-3162-455e-9845-ddb98dfccbb8.jpg,0,False,"[{'item_group_id': 2018, 'item_id': 4260, 'item_code': 'JAM-TAN-ANA-EDI-BAR-BLU-HIT', 'item_name': 'Jam Tangan Anak Edisi Baru', 'is_bundle': False, 'variation_values': [{'label': 'warna tali', 'value': 'Blue'}, {'label': 'Warna', 'value': 'Hitam'}], 'is_internal': None, 'barcode': None, 'tax_rate': 0, 'thumbnail': 'https://file-service.jb-assets-alpha.sg-sin1.upcloudobjects.com/images/yuzagylismw50oreabjexg/c088aebf-ba39-4a65-99fe-dfb0479b1f81_thumb.jpg', 'store_names': [{'store_name': 'Tokopedia - Tokopedia'}, {'store_name': 'Shopee - ViceCollection'}], 'sell_price': 2420000}, {'item_group_id': 2018, 'item_id': 4261, 'item_code': 'JAM-TAN-ANA-EDI-BAR-OLI-HIT', 'item_name': 'Jam Tangan Anak Edisi Baru', 'is_bundle': False, 'variation_values': [{'label': 'warna tali', 'value': 'Olive'}, {'label': 'Warna', 'value': 'Hitam'}], 'is_internal': None, 'barcode': None, 'tax_rate': 0, 'thumbnail': 'https://file-service.jb-assets-alpha.sg-sin1.upcloudobjects.com/images/yuzagylismw50oreabjexg/b37deff4-3841-4f81-9e64-cd9fc74c26c8_thumb.jpg', 'store_names': [{'store_name': 'Tokopedia - Tokopedia'}, {'store_name': 'Shopee - ViceCollection'}], 'sell_price': 2420000}]",2,"[{'channel_id': 64, 'store_id': 85693, 'store_name': 'Shopee - ViceCollection', 'channel_group_id': '22066363758', 'channel_url': 'https://shopee.co.id/product/842215517/22066363758', 'error_text': None, 'shop_id': '842215517'}, {'channel_id': 128, 'store_id': 85692, 'store_name': 'Tokopedia - Tokopedia', 'channel_group_id': '9240379480', 'channel_url': 'https://www.tokopedia.com/sellerapi-multiwarehouse/jam-tangan-anak-edisi-baru', 'error_text': None, 'shop_id': '10924304'}]"
1816,Potato Chips NV,2023-07-24T08:28:10.281Z,[],200000.0000,,https://jubelio.blob.core.windows.net/images/yuzagylismw50oreabjexg/0b96a1760490d4a89ed5b00b51dcb2d2_thumb.jpg,0,False,"[{'item_group_id': 1816, 'item_id': 3987, 'item_code': 'PC-NVM', 'item_name': 'Potato Chips NV', 'is_bundle': False, 'variation_values': [], 'is_internal': None, 'barcode': None, 'tax_rate': 0, 'thumbnail': 'https://jubelio.blob.core.windows.net/images/yuzagylismw50oreabjexg/0b96a1760490d4a89ed5b00b51dcb2d2_thumb.jpg', 'store_names': [{'store_name': 'Shopee - ViceCollection'}], 'sell_price': 200000}]",1,"[{'channel_id': 64, 'store_id': 85693, 'store_name': 'Shopee - ViceCollection', 'channel_group_id': '19762261320', 'channel_url': 'https://shopee.co.id/product/842215517/19762261320', 'error_text': None, 'shop_id': '842215517'}]"
2028,Converse Jack Purcell Ink Series,2023-07-24T08:28:09.996Z,"[{'label': 'Ukuran', 'value': ['40', '42', '45']}]",650003.0000,,https://file-service.jb-assets-alpha.sg-sin1.upcloudobjects.com/images/yuzagylismw50oreabjexg/6a3d6c6b-4068-49bb-b1d6-e6241a7fa269.jpg,0,False,"[{'item_group_id': 2028, 'item_id': 4280, 'item_code': 'STG-CJP-40', 'item_name': 'Converse Jack Purcell Ink Series', 'is_bundle': False, 'variation_values': [{'label': 'Ukuran', 'value': '40'}], 'is_internal': None, 'barcode': None, 'tax_rate': 0, 'thumbnail': 'https://file-service.jb-assets-alpha.sg-sin1.upcloudobjects.com/images/yuzagylismw50oreabjexg/11022633-fc0c-4ffc-a209-bb9e648b7ee8_thumb.jpg', 'store_names': [{'store_name': 'Tokopedia - Tokopedia'}], 'sell_price': 650015}, {'item_group_id': 2028, 'item_id': 4282, 'item_code': 'STG-CJP-41', 'item_name': 'Converse Jack Purcell Ink Series', 'is_bundle': False, 'variation_values': [{'label': 'Ukuran', 'value': '45'}], 'is_internal': None, 'barcode': None, 'tax_rate': 0, 'thumbnail': 'https://file-service.jb-assets-alpha.sg-sin1.upcloudobjects.com/images/yuzagylismw50oreabjexg/8404c235-2488-44a2-9e41-fcc3823a5e06_thumb.jpg', 'store_names': [{'store_name': 'Tokopedia - Tokopedia'}], 'sell_price': 655004}, {'item_group_id': 2028, 'item_id': 4281, 'item_code': 'STG-CJP-42', 'item_name': 'Converse Jack Purcell Ink Series', 'is_bundle': False, 'variation_values': [{'label': 'Ukuran', 'value': '42'}], 'is_internal': None, 'barcode': None, 'tax_rate': 0, 'thumbnail': 'https://file-service.jb-assets-alpha.sg-sin1.upcloudobjects.com/images/yuzagylismw50oreabjexg/b8721ee1-66bd-4c05-808f-456020a99a88_thumb.jpg', 'store_names': [{'store_name': 'Tokopedia - Tokopedia'}], 'sell_price': 650000}]",3,"[{'channel_id': 128, 'store_id': 85692, 'store_name': 'Tokopedia - Tokopedia', 'channel_group_id': '8970142337', 'channel_url': 'https://www.tokopedia.com/sellerapi-multiwarehouse/converse-jack-purcell-ink-series', 'error_text': None, 'shop_id': '10924304'}]"
1804,Kripik Kentang,2023-07-24T08:28:09.328Z,[],15000.0000,,https://jubelio.blob.core.windows.net/images/yuzagylismw50oreabjexg/13c24ca21f5c4ef7cfbf314ea9384cea_thumb.jpg,0,False,"[{'item_group_id': 1804, 'item_id': 3935, 'item_code': 'DESC-EMP', 'item_name': 'Kripik Kentang', 'is_bundle': False, 'variation_values': [], 'is_internal': None, 'barcode': None, 'tax_rate': 0, 'thumbnail': 'https://jubelio.blob.core.windows.net/images/yuzagylismw50oreabjexg/13c24ca21f5c4ef7cfbf314ea9384cea_thumb.jpg', 'store_names': None, 'sell_price': 15000}]",1,
2020,Paket Perjalanan Umroh,2023-07-24T08:28:08.326Z,"[{'label': 'tipe', 'value': ['Hitam', 'Merah', 'Putih', 'Kuning']}]",35000000.0000,,https://file-service.jb-assets-alpha.sg-sin1.upcloudobjects.com/images/yuzagylismw50oreabjexg/e3686784-a55a-4353-9ccb-73d20045ed78.jpg,0,False,"[{'item_group_id': 2020, 'item_id': 4263, 'item_code': 'PAK-PER-UMR-HIT-LAN-HAJ', 'item_name': 'Paket Perjalanan Umroh', 'is_bundle': False, 'variation_values': [{'label': 'tipe', 'value': 'Hitam'}], 'is_internal': None, 'barcode': None, 'tax_rate': 0, 'thumbnail': 'https://file-service.jb-assets-alpha.sg-sin1.upcloudobjects.com/images/yuzagylismw50oreabjexg/0698b4ca-6357-4da6-97b8-ee9de5216fca_thumb.jpg', 'store_names': [{'store_name': 'Tokopedia - Tokopedia'}, {'store_name': 'Shopee - ViceCollection'}], 'sell_price': 35000000}, {'item_group_id': 2020, 'item_id': 4264, 'item_code': 'PAK-PER-UMR-HIT-UMR-DUL', 'item_name': 'Paket Perjalanan Umroh', 'is_bundle': False, 'variation_values': [{'label': 'tipe', 'value': 'Merah'}], 'is_internal': None, 'barcode': None, 'tax_rate': 0, 'thumbnail': 'https://file-service.jb-assets-alpha.sg-sin1.upcloudobjects.com/images/yuzagylismw50oreabjexg/26a20040-d21e-4bb6-9fd0-5ce16d292d3c_thumb.jpg', 'store_names': [{'store_name': 'Tokopedia - Tokopedia'}, {'store_name': 'Shopee - ViceCollection'}], 'sell_price': 35000000}, {'item_group_id': 2020, 'item_id': 4265, 'item_code': 'PAK-PER-UMR-PUT-LAN-HAJ', 'item_name': 'Paket Perjalanan Umroh', 'is_bundle': False, 'variation_values': [{'label': 'tipe', 'value': 'Putih'}], 'is_internal': None, 'barcode': None, 'tax_rate': 0, 'thumbnail': 'https://file-service.jb-assets-alpha.sg-sin1.upcloudobjects.com/images/yuzagylismw50oreabjexg/e2e6b2b2-3a38-43cf-a2aa-d3739d05ac0b_thumb.jpg', 'store_names': [{'store_name': 'Tokopedia - Tokopedia'}, {'store_name': 'Shopee - ViceCollection'}], 'sell_price': 35000000}, {'item_group_id': 2020, 'item_id': 4266, 'item_code': 'PAK-PER-UMR-PUT-UMR-DUL', 'item_name': 'Paket Perjalanan Umroh', 'is_bundle': False, 'variation_values': [{'label': 'tipe', 'value': 'Kuning'}], 'is_internal': None, 'barcode': None, 'tax_rate': 0, 'thumbnail': 'https://file-service.jb-assets-alpha.sg-sin1.upcloudobjects.com/images/yuzagylismw50oreabjexg/931d5118-c4da-4036-8117-edd522d7be5a_thumb.jpg', 'store_names': [{'store_name': 'Tokopedia - Tokopedia'}, {'store_name': 'Shopee - ViceCollection'}], 'sell_price': 35000000}]",4,"[{'channel_id': 64, 'store_id': 85693, 'store_name': 'Shopee - ViceCollection', 'channel_group_id': '23543077136', 'channel_url': 'https://shopee.co.id/product/842215517/23543077136', 'error_text': None, 'shop_id': '842215517'}, {'channel_id': 128, 'store_id': 85692, 'store_name': 'Tokopedia - Tokopedia', 'channel_group_id': '9240308757', 'channel_url': 'https://www.tokopedia.com/sellerapi-multiwarehouse/paket-perjalanan-umroh', 'error_text': None, 'shop_id': '10924304'}]"
1314,Case HP Disney,2023-07-24T08:28:06.876Z,[],7500000.0000,,https://jubelio.blob.core.windows.net/images/yuzagylismw50oreabjexg/dc220b1a0e2000eda15b7532c7366e94_thumb.jpg,0,False,"[{'item_group_id': 1314, 'item_id': 2878, 'item_code': 'CASEIKAN', 'item_name': 'Case HP Disney', 'is_bundle': False, 'variation_values': [], 'is_internal': None, 'barcode': None, 'tax_rate': 0, 'thumbnail': 'https://jubelio.blob.core.windows.net/images/yuzagylismw50oreabjexg/dc220b1a0e2000eda15b7532c7366e94_thumb.jpg', 'store_names': [{'store_name': 'Shopee - ViceCollection'}], 'sell_price': 7500000}]",1,"[{'channel_id': 64, 'store_id': 85693, 'store_name': 'Shopee - ViceCollection', 'channel_group_id': '23740874312', 'channel_url': 'https://shopee.co.id/product/842215517/23740874312', 'error_text': None, 'shop_id': '842215517'}]"
1796,PHONE CASE BEAR DY,2023-07-24T08:28:06.739Z,[],2500.0000,,https://jubelio.blob.core.windows.net/images/yuzagylismw50oreabjexg/ea4eeb70ad982b69e9e99295fb6dbf54_thumb.jpg,0,False,"[{'item_group_id': 1796, 'item_id': 3898, 'item_code': 'CASEBEARDY', 'item_name': 'PHONE CASE BEAR DY', 'is_bundle': False, 'variation_values': [], 'is_internal': None, 'barcode': None, 'tax_rate': 0, 'thumbnail': 'https://jubelio.blob.core.windows.net/images/yuzagylismw50oreabjexg/ea4eeb70ad982b69e9e99295fb6dbf54_thumb.jpg', 'store_names': [{'store_name': 'Shopee - ViceCollection'}], 'sell_price': 2500}]",1,"[{'channel_id': 64, 'store_id': 85693, 'store_name': 'Shopee - ViceCollection', 'channel_group_id': '22422946339', 'channel_url': 'https://shopee.co.id/product/842215517/22422946339', 'error_text': None, 'shop_id': '842215517'}]"
